Time (Day);ProduktA;ProduktB;ProduktC;ProduktD;
0;1100;2500;2500;3000;
1;1100;2500;2500;3000;
2;1100;2500;2500;3000;
3;1100;2500;2187,5;3000;
4;1100;2500;2563,93;3000;
5;1100;2500;2262,99;3000;
6;1100;2225;2201,38;3000;
7;1112,92;2297,5;2698,71;3000;
8;1095,85;2335,33;2909,19;3000;
9;1085,82;2369,56;2766,38;3000;
10;1107,73;2434,76;2810,96;3000;
11;1125,06;2471,88;2463,51;3000;
12;1126,19;2495;2195,47;3000;
13;1134,26;2459,88;2155,67;3000;
14;1119,81;2445,91;2086,75;3000;
15;1101,67;2442,12;2403,41;3000;
16;1091,3;2445,76;2115,68;3000;
17;1078,84;2457,98;2533,89;3000;
18;1087,55;2481,35;2145,36;3000;
19;1068,48;2477,53;2610,67;3000;
20;1083,54;2512,57;2527,78;3000;
21;1061,45;2501,31;2828,64;2992,5;
22;1080,27;2520,87;2399,23;3005,34;
23;1078,67;2523,62;2139,25;2989,5;
24;1097,73;2528,2;2202,4;2978,18;
25;1081,07;2520,74;2232,8;2998,03;
26;1064,15;2509,4;2329,82;3016,68;
27;1060,46;2511,33;2274,6;3021,38;
28;1057,51;2511,57;2488,36;3033,17;
29;1059,66;2516,09;2772,53;3023,25;
30;1055,51;2510,86;2404,7;3007,02;
31;1065,57;2522,52;2497,27;2995,54;
32;1084,99;2545,54;2312,89;2980,54;
33;1072,96;2528,21;2170,43;2985,9;
34;1078,99;2532,43;2647,87;2964,9;
35;1071,39;2518,61;2468,77;2976,65;
36;1062,08;2501,44;2677,93;2953,32;
37;1086,33;2526,17;2840,33;2968,5;
38;1083,74;2517,06;2389,36;2965,71;
39;1098,87;2529,77;2176,06;2983,44;
40;1116,05;2545,36;2509,93;2967,37;
41;1100,46;2519,46;2778,85;2947,81;
42;1087,63;2496,28;2564,09;2938,94;
43;1102,4;2508,05;2362,12;2929,79;
44;1121,47;2526,05;2550,63;2925,26;
45;1118,18;2516,49;2860,99;2914,57;
46;1109,57;2500,09;2465,58;2918,17;
47;1118,36;2505,63;2742,06;2932,84;
48;1138,75;2526,88;2370,46;2917,76;
49;1124,98;2506,06;2272,75;2918,54;
50;1140,48;2522,57;2747,41;2905,53;
51;1124,06;2499,35;2903,95;2888,93;
52;1114,25;2484,39;2398,76;2904,63;
53;1135,98;2510,05;2086,18;2896,38;
54;1150,37;2527,96;2414,77;2905,92;
55;1128,52;2500,53;2087,92;2919,69;
56;1105,25;2470,87;2189,88;2902,53;
57;1112,13;2479,2;2146,39;2885,38;
58;1089,06;2450,26;2140,57;2894,15;
59;1083,72;2443,79;2243,75;2909,79;
60;1072,57;2430,18;2674,19;2905,5;
61;1062,42;2417,67;2235,38;2895,39;
62;1058,88;2413,77;2396,54;2902,29;
63;1077,72;2439,18;2783,87;2922,79;
64;1055,95;2414,1;2806,75;2911,56;
65;1059,02;2420,55;2910,14;2928,39;
66;1079,96;2450,69;2528,61;2915,73;
67;1089,22;2467,45;2271,66;2907,9;
68;1103,73;2491,87;2512;2931,32;
69;1092,26;2484,07;2832,93;2951,21;
70;1078,61;2472,92;2755,85;2937,2;
71;1088,78;2491,82;2656,91;2918,88;
72;1110,25;2525,64;2418;2928,85;
73;1115,82;2539,62;2548,1;2910,15;
74;1117,47;2548,15;2718,64;2906,57;
75;1107,77;2541,3;2538,71;2897,39;
76;1113,86;2553,41;2469,02;2888,9;
77;1125,87;2572,72;2651,44;2886,51;
78;1121,29;2570,46;2375,11;2906,99;
79;1118,2;2568,7;2192,88;2889,6;
80;1127,86;2581,9;2166,85;2894,33;
81;1114,65;2565,11;2101,93;2917,86;
82;1100,17;2545,13;2430,84;2932,44;
83;1090,69;2529,98;2568,39;2953,33;
84;1078,49;2509,99;2652,38;2949,2;
85;1088,15;2516,68;2816,58;2940,64;
86;1094,69;2519,24;2864,2;2953,63;
87;1100,87;2521,01;2973,31;2973,91;
88;1113,38;2530,81;2418,13;2976,42;
89;1122,77;2537,12;2298,98;2978,46;
90;1136,68;2549,73;2278,22;2975,25;
91;1140,61;2550,48;2381,04;2984,86;
92;1127,63;2530;2731,62;2987,8;
93;1118,69;2514,34;2457,19;2989,57;
94;1117,44;2508,47;2791,26;2992,06;
95;1133,69;2525,2;2481,2;2993,41;
96;1121,55;2506,66;2608,22;2987,17;
97;1137,83;2524,09;2706,54;2977,91;
98;1123,88;2503,86;2759,49;2972,1;
99;1127,75;2506,29;2589,43;2962,96;
100;1133,21;2511,59;2800,13;2975,04;
101;1138,34;2517,39;2761,16;2986,22;
102;1131,16;2508,09;2976,66;2992,74;
103;1142,1;2522,23;2625,93;2994,41;
104;1143,12;2524,55;2745,52;2996,65;
105;1157,9;2545,02;2349,09;2999,72;
106;1144,3;2530,29;2696,18;3002,45;
107;1149,41;2539,15;2804,71;2998,01;
108;1127,03;2513,32;2812,51;2995,41;
109;1138,88;2530,58;2908,62;2999,12;
110;1145,31;2541,56;2868,17;3012,8;
111;1148,07;2548,19;2790,43;3007,75;
112;1155,47;2560,66;2498,76;3018,85;
113;1166,85;2578,47;2791,68;3013,11;
114;1173,28;2590,22;2372,66;3023,67;
115;1154,87;2570,5;2529,14;3028,31;
116;1164,26;2585,24;2456,1;3031,54;
117;1139,39;2556,31;2109,64;3032,58;
118;1138,41;2556,43;2268,41;3037,25;
119;1128,19;2544,28;2166,1;3039,39;
120;1100,14;2508,39;2391,47;3041,17;
121;1093,56;2498,18;2116,82;3037,55;
122;1076,32;2473,91;2649,76;3043,95;
123;1076,19;2470,49;2266,97;3030,4;
124;1052,91;2437,6;2300,09;3047,72;
125;1070,92;2456,58;2739,97;3050,08;
126;1048,67;2425,15;2571,45;3052,42;
127;1042,24;2413,51;2177,68;3054,79;
128;1061,56;2435,18;2594,31;3057,16;
129;1056,7;2427,55;2643,26;3059,21;
130;1034,84;2398,64;2431,07;3052,49;
131;1052,19;2419,82;2280,95;3062,53;
132;1058,81;2428,66;2677,4;3047,94;
133;1051,8;2421,2;2662,45;3054,37;
134;1043,94;2413,11;2425,17;3051,87;
135;1065,01;2442,1;2478,08;3030,47;
136;1071,9;2454,35;2444,44;3027,74;
137;1065,67;2450,69;2354,9;3013,88;
138;1070,79;2461,48;2114,47;3015,84;
139;1072,27;2467,9;2457,5;2994,65;
140;1069,9;2469,49;2605,26;3012,58;
141;1056,95;2457,53;2537,22;2992,5;
142;1072,63;2481,31;2517,98;2984,85;
143;1085,23;2501,42;2383,07;3002,29;
144;1088,41;2509,61;2811,64;2997,37;
145;1092,32;2518,28;2911,69;2973,68;
146;1088,64;2516,77;2793,16;2985,6;
147;1114,66;2552,42;2588,45;2988,65;
148;1131,81;2567,75;2283,65;2977,66;
149;1137,69;2568,05;2233,63;2963,45;
150;1134,67;2567,54;2459,75;2976,86;
151;1120,27;2551,07;2289,95;2978,23;
152;1113,37;2542,43;2211,24;2965,92;
153;1121,89;2552,26;2496,54;2963,28;
154;1112,37;2538,27;2244,25;2957,01;
155;1103,36;2523,61;2108;2946,15;
156;1131,7;2631,32;1993,69;2923,14;
157;1114,83;2601,48;2530,82;2927,04;
158;1098,85;2572,78;2624,43;2930,08;
159;1081,54;2542,43;2315,35;2925,14;
160;1100,3;2558,06;2049,2;2921,17;
161;1106,46;2559,13;2161,43;2909,9;
162;1091,09;2533,68;2271,85;2928,13;
163;1070,15;2498,54;2292,21;2940,86;
164;1065,4;2482,2;2256,02;2944,45;
165;1064,14;2469,88;2092,09;2939,65;
166;1061,11;2455,55;2614,16;2922,6;
167;1055,42;2437,93;2613,02;2911,12;
168;1041,35;2409,72;2712,73;2914,4;
169;1064,04;2428,59;2276,05;2901,16;
170;1069,27;2427,24;2068,26;2887,93;
171;1080,36;2434,78;1984;2905,17;
172;1062,32;2406,79;2602,67;2888,68;
173;1047,34;2383,22;2300,45;2871;
174;1035,53;2364,49;2318,89;2850,02;
175;1064,26;2398,78;2133,94;2864,06;
176;1054,2;2386,1;2197,54;2868,83;
177;1055,25;2388,34;2177,35;2852,92;
178;1044,61;2376,71;2256,33;2830,02;
179;1044,39;2379,16;2384,81;2821,19;
180;1041,52;2379,52;2133,68;2815,74;
181;1044,73;2388,85;2516,73;2808,49;
182;1052,75;2405,2;2840,76;2798,65;
183;1041,62;2398,1;2326,82;2780,16;
184;1061,64;2430,84;2068,45;2797,48;
185;1087,71;2472,66;2140,48;2800,41;
186;1071,97;2462,38;2647,4;2809,83;
187;1058,45;2454,22;2584,58;2790,82;
188;1058,52;2462,67;2210,8;2771,8;
189;1086,31;2506,15;2436,05;2753,43;
190;1093,07;2520,41;2728,64;2774,26;
191;1079,22;2511,04;2609,16;2760,01;
192;1090,62;2529,06;2361,82;2755,7;
193;1111,34;2533,41;2659,64;2739,94;
194;1114,67;2535,3;2482,71;2733,24;
195;1107,14;2532,4;2311,63;2723,69;
196;1124,98;2549,87;2384,86;2719,67;
197;1121,62;2549,5;2740,22;2721,38;
198;1113,93;2541,71;2932,72;2704,78;
199;1116,23;2544,71;3057,7;2718,41;
