Time (Day);ProduktA;ProduktB;ProduktC;ProduktD;
0;5500;12500;5000;60000;
1;5500;11125;4375;59850;
2;5564,59;11487,5;5127,85;60106,7;
3;5479,23;11676,6;4525,99;59790;
4;5429,12;11847,8;4402,77;59563,5;
5;5538,67;12173,8;5397,42;59960,5;
6;5625,31;12359,4;5818,39;60333,6;
7;5630,96;12475;5532,77;60427,5;
8;5671,31;12299,4;5621,92;60663,4;
9;5599,05;12229,6;4927,02;60465,1;
10;5508,37;12210,6;4390,94;60140,4;
11;5456,48;12228,8;4311,35;59910,8;
12;5394,18;12289,9;4173,49;59610,7;
13;5437,76;12406,8;4806,82;59718,1;
14;5342,38;12387,7;4231,35;59298;
15;5417,68;12562,8;5067,79;59533,1;
16;5307,26;12506,5;4290,73;59066,4;
17;5401,33;12604,3;5221,34;59369,9;
18;5393,34;12618,1;5055,55;59314,2;
19;5488,67;12641;5657,28;59668,7;
20;5405,33;12603,7;4798,47;59347,5;
21;5320,75;12547;4278,49;58956,1;
22;5302,28;12556,6;4404,79;58778,9;
23;5287,57;12557,9;4465,6;58595,8;
24;5298,31;12580,5;4659,63;58505,3;
25;5277,54;12554,3;4549,2;58291,5;
26;5327,83;12612,6;4976,72;58363,4;
27;5424,93;12727,7;5545,07;58656,7;
28;5364,78;12641,1;4809,39;58355,2;
29;5394,93;12662,2;4994,54;58370,7;
30;5356,95;12593;4625,78;58110,7;
31;5310,4;12507,2;4340,86;57778,7;
32;5431,64;12630,8;5295,74;58092,7;
33;5418,68;12585,3;4937,53;57927,6;
34;5494,35;12648,8;5355,86;58118,5;
35;5580,23;12726,8;5680,67;58393,9;
36;5502,3;12597,3;4778,72;58050,6;
37;5438,16;12481,4;4352,12;57707,7;
38;5511,98;12540,3;5019,86;57883;
39;5607,36;12630,3;5557,69;58195,7;
40;5590,89;12582,4;5128,17;58110;
41;5547,87;12500,5;4724,24;57907,7;
42;5591,78;12528,2;5101,26;58045,8;
43;5693,76;12634,4;5721,98;58455,9;
44;5624,92;12530,3;4931,16;58231,1;
45;5702,4;12612,9;5484,11;58567,9;
46;5620,29;12496,8;4740,92;58314,5;
47;5571,27;12421,9;4545,49;58158,1;
48;5679,9;12550,2;5494,82;58626,3;
49;5751,86;12639,8;5807,9;59024,3;
50;5642,62;12502,6;4797,51;58744;
51;5526,25;12354,3;4172,36;58377,5;
52;5560,67;12396;4829,53;58577,1;
53;5445,31;12251,3;4175,84;58203;
54;5418,6;12218,9;4379,77;58131,3;
55;5362,88;12150,9;4292,78;57947,7;
56;5312,1;12088,3;4281,14;57778;
57;5294,4;12068,9;4487,51;57730,1;
58;5388,59;12195,9;5348,37;58139,9;
59;5279,75;12070,5;4470,76;57792;
60;5295,08;12102,8;4793,08;57886,7;
61;5399,81;12253,5;5567,74;58357,1;
62;5446,08;12337,3;5613,5;58648,8;
63;5518,66;12459,3;5820,27;59066,5;
64;5461,29;12420,3;5057,23;58984,1;
65;5393,03;12364,6;4543,32;58812,9;
66;5443,89;12459,1;5024;59072,5;
67;5551,27;12628,2;5665,86;59478,2;
68;5579,09;12698,1;5511,7;59528,4;
69;5587,33;12740,8;5313,82;59569,1;
70;5538,83;12706,5;4835,99;59505;
71;5569,3;12767,1;5096,2;59697,3;
72;5629,37;12863,6;5437,28;59755,9;
73;5606,46;12852,3;5077,41;59791,5;
74;5590,99;12843,5;4938,04;59841,1;
75;5639,29;12909,5;5302,87;59868,2;
76;5573,26;12825,6;4750,23;59743,4;
77;5500,85;12725,7;4385,76;59558,2;
78;5453,46;12649,9;4333,71;59442;
79;5392,46;12550;4203,86;59259,2;
80;5440,74;12583,4;4861,69;59500,7;
81;5473,47;12596,2;5136,78;59724,5;
82;5504,34;12605;5304,76;59854,9;
83;5566,89;12654,1;5633,17;59888,2;
84;5613,85;12685,6;5728,4;59933;
85;5683,41;12748,6;5946,63;59994,3;
86;5703,04;12752,4;4836,26;60048,9;
87;5638,13;12650;4597,95;59960,3;
88;5593,43;12571,7;4556,44;59908,1;
89;5587,22;12542,3;4762,08;59982,5;
90;5668,44;12626;5463,25;60256,1;
91;5607,76;12533,3;4914,37;60155,1;
92;5689,14;12620,4;5582,52;60376,9;
93;5619,4;12519,3;4962,4;60262,3;
94;5638,76;12531,5;5216,43;60473,3;
95;5666,05;12558;5413,09;60566,2;
96;5691,71;12586,9;5518,98;60630,8;
97;5655,8;12540,5;5178,86;60651,5;
98;5710,49;12611,1;5600,25;60745;
99;5715,61;12622,7;5522,32;60787,9;
100;5789,51;12725,1;5953,33;60823,4;
101;5721,52;12651,4;5251,86;60751;
102;5747,03;12695,7;5491,03;60879,1;
103;5635,13;12566,6;4698,19;60608,1;
104;5694,42;12652,9;5392,36;60954,3;
105;5726,54;12707,8;5609,43;61001,6;
106;5740,36;12741;5625,02;61048,5;
107;5777,37;12803,3;5817,23;61095,8;
108;5834,26;12892,4;5736,33;61143,2;
109;5866,39;12951,1;5580,86;61184,3;
110;5774,37;12852,5;4997,53;61049,8;
111;5821,28;12926,2;5583,37;61250,5;
112;5696,97;12781,5;4745,33;60958,9;
113;5692,06;12782,1;5058,28;61087,5;
114;5640,94;12721,4;4912,19;61037,4;
115;5500,72;12541,9;4219,28;60609,5;
116;5467,8;12490,9;4536,83;60554,8;
117;5381,61;12369,5;4332,21;60277,7;
118;5380,94;12352,4;4782,94;60316,9;
119;5264,57;12188;4233,64;59893,1;
120;5354,59;12282,9;5299,52;60251,6;
121;5243,36;12125,7;4533,95;59850,1;
122;5211,18;12067,6;4600,18;59697;
123;5307,81;12175,9;5479,94;60045,8;
124;5283,5;12137,8;5142,89;59947,4;
125;5174,22;11993,2;4355,35;59473,6;
126;5260,97;12099,1;5188,61;59712,1;
127;5294,03;12143,3;5286,53;59773;
128;5259;12106;4862,14;59553,1;
129;5219,72;12065,5;4561,9;59269,1;
130;5325,03;12210,5;5354,81;59537,2;
131;5359,5;12271,8;5324,9;59564,6;
132;5328,34;12253,5;4850,33;59318,5;
133;5353,94;12307,4;4956,17;59265,5;
134;5361,36;12339,5;4888,89;59140,2;
135;5349,48;12347,5;4709,8;58923,1;
136;5284,75;12287,6;4228,93;58462,7;
