Time (Day);ProduktA;ProduktB;ProduktC;ProduktD;
0;1100;2500;2500;3000;
1;1100;2225;2187,5;2992,5;
2;1112,92;2297,5;2563,93;3005,34;
3;1095,85;2335,33;2262,99;2989,5;
4;1085,82;2369,56;2201,38;2978,18;
5;1107,73;2434,76;2698,71;2998,03;
6;1125,06;2471,88;2909,19;3016,68;
7;1126,19;2495;2766,38;3021,38;
8;1134,26;2459,88;2810,96;3033,17;
9;1119,81;2445,91;2463,51;3023,25;
10;1101,67;2442,12;2195,47;3007,02;
11;1091,3;2445,76;2155,67;2995,54;
12;1078,84;2457,98;2086,75;2980,54;
13;1087,55;2481,35;2403,41;2985,9;
14;1068,48;2477,53;2115,68;2964,9;
15;1083,54;2512,57;2533,89;2976,65;
16;1061,45;2501,31;2145,36;2953,32;
17;1080,27;2520,87;2610,67;2968,5;
18;1078,67;2523,62;2527,78;2965,71;
19;1097,73;2528,2;2828,64;2983,44;
20;1081,07;2520,74;2399,23;2967,37;
21;1064,15;2509,4;2139,25;2947,81;
22;1060,46;2511,33;2202,4;2938,94;
23;1057,51;2511,57;2232,8;2929,79;
24;1059,66;2516,09;2329,82;2925,26;
25;1055,51;2510,86;2274,6;2914,57;
26;1065,57;2522,52;2488,36;2918,17;
27;1084,99;2545,54;2772,53;2932,84;
28;1072,96;2528,21;2404,7;2917,76;
29;1078,99;2532,43;2497,27;2918,54;
30;1071,39;2518,61;2312,89;2905,53;
31;1062,08;2501,44;2170,43;2888,93;
32;1086,33;2526,17;2647,87;2904,63;
33;1083,74;2517,06;2468,77;2896,38;
34;1098,87;2529,77;2677,93;2905,92;
35;1116,05;2545,36;2840,33;2919,69;
36;1100,46;2519,46;2389,36;2902,53;
37;1087,63;2496,28;2176,06;2885,38;
38;1102,4;2508,05;2509,93;2894,15;
39;1121,47;2526,05;2778,85;2909,79;
40;1118,18;2516,49;2564,09;2905,5;
41;1109,57;2500,09;2362,12;2895,39;
42;1118,36;2505,63;2550,63;2902,29;
43;1138,75;2526,88;2860,99;2922,79;
44;1124,98;2506,06;2465,58;2911,56;
45;1140,48;2522,57;2742,06;2928,39;
46;1124,06;2499,35;2370,46;2915,73;
47;1114,25;2484,39;2272,75;2907,9;
48;1135,98;2510,05;2747,41;2931,32;
49;1150,37;2527,96;2903,95;2951,21;
50;1128,52;2500,53;2398,76;2937,2;
51;1105,25;2470,87;2086,18;2918,88;
52;1112,13;2479,2;2414,77;2928,85;
53;1089,06;2450,26;2087,92;2910,15;
54;1083,72;2443,79;2189,88;2906,57;
55;1072,57;2430,18;2146,39;2897,39;
56;1062,42;2417,67;2140,57;2888,9;
57;1058,88;2413,77;2243,75;2886,51;
58;1077,72;2439,18;2674,19;2906,99;
59;1055,95;2414,1;2235,38;2889,6;
60;1059,02;2420,55;2396,54;2894,33;
61;1079,96;2450,69;2783,87;2917,86;
62;1089,22;2467,45;2806,75;2932,44;
63;1103,73;2491,87;2910,14;2953,33;
64;1092,26;2484,07;2528,61;2949,2;
65;1078,61;2472,92;2271,66;2940,64;
66;1088,78;2491,82;2512;2953,63;
67;1110,25;2525,64;2832,93;2973,91;
68;1115,82;2539,62;2755,85;2976,42;
69;1117,47;2548,15;2656,91;2978,46;
70;1107,77;2541,3;2418;2975,25;
71;1113,86;2553,41;2548,1;2984,86;
72;1125,87;2572,72;2718,64;2987,8;
73;1121,29;2570,46;2538,71;2989,57;
74;1118,2;2568,7;2469,02;2992,06;
75;1127,86;2581,9;2651,44;2993,41;
76;1114,65;2565,11;2375,11;2987,17;
77;1100,17;2545,13;2192,88;2977,91;
78;1090,69;2529,98;2166,85;2972,1;
79;1078,49;2509,99;2101,93;2962,96;
80;1088,15;2516,68;2430,84;2975,04;
81;1094,69;2519,24;2568,39;2986,22;
82;1100,87;2521,01;2652,38;2992,74;
83;1113,38;2530,81;2816,58;2994,41;
84;1122,77;2537,12;2864,2;2996,65;
85;1136,68;2549,73;2973,31;2999,72;
86;1140,61;2550,48;2418,13;3002,45;
87;1127,63;2530;2298,98;2998,01;
88;1118,69;2514,34;2278,22;2995,41;
89;1117,44;2508,47;2381,04;2999,12;
90;1133,69;2525,2;2731,62;3012,8;
91;1121,55;2506,66;2457,19;3007,75;
92;1137,83;2524,09;2791,26;3018,85;
93;1123,88;2503,86;2481,2;3013,11;
94;1127,75;2506,29;2608,22;3023,67;
95;1133,21;2511,59;2706,54;3028,31;
96;1138,34;2517,39;2759,49;3031,54;
97;1131,16;2508,09;2589,43;3032,58;
98;1142,1;2522,23;2800,13;3037,25;
99;1143,12;2524,55;2761,16;3039,39;
100;1157,9;2545,02;2976,66;3041,17;
101;1144,3;2530,29;2625,93;3037,55;
102;1149,41;2539,15;2745,52;3043,95;
103;1127,03;2513,32;2349,09;3030,4;
104;1138,88;2530,58;2696,18;3047,72;
105;1145,31;2541,56;2804,71;3050,08;
106;1148,07;2548,19;2812,51;3052,42;
107;1155,47;2560,66;2908,62;3054,79;
108;1166,85;2578,47;2868,17;3057,16;
109;1173,28;2590,22;2790,43;3059,21;
110;1154,87;2570,5;2498,76;3052,49;
111;1164,26;2585,24;2791,68;3062,53;
112;1139,39;2556,31;2372,66;3047,94;
113;1138,41;2556,43;2529,14;3054,37;
114;1128,19;2544,28;2456,1;3051,87;
115;1100,14;2508,39;2109,64;3030,47;
116;1093,56;2498,18;2268,41;3027,74;
117;1076,32;2473,91;2166,1;3013,88;
118;1076,19;2470,49;2391,47;3015,84;
119;1052,91;2437,6;2116,82;2994,65;
120;1070,92;2456,58;2649,76;3012,58;
121;1048,67;2425,15;2266,97;2992,5;
122;1042,24;2413,51;2300,09;2984,85;
123;1061,56;2435,18;2739,97;3002,29;
124;1056,7;2427,55;2571,45;2997,37;
125;1034,84;2398,64;2177,68;2973,68;
126;1052,19;2419,82;2594,31;2985,6;
127;1058,81;2428,66;2643,26;2988,65;
128;1051,8;2421,2;2431,07;2977,66;
129;1043,94;2413,11;2280,95;2963,45;
130;1065,01;2442,1;2677,4;2976,86;
131;1071,9;2454,35;2662,45;2978,23;
132;1065,67;2450,69;2425,17;2965,92;
133;1070,79;2461,48;2478,08;2963,28;
134;1072,27;2467,9;2444,44;2957,01;
135;1069,9;2469,49;2354,9;2946,15;
136;1056,95;2457,53;2114,47;2923,14;
137;1072,63;2481,31;2457,5;2927,04;
138;1085,23;2501,42;2605,26;2930,08;
139;1088,41;2509,61;2537,22;2925,14;
140;1092,32;2518,28;2517,98;2921,17;
141;1088,64;2516,77;2383,07;2909,9;
142;1114,66;2552,42;2811,64;2928,13;
143;1131,81;2567,75;2911,69;2940,86;
144;1137,69;2568,05;2793,16;2944,45;
145;1134,67;2567,54;2588,45;2939,65;
146;1120,27;2551,07;2283,65;2922,6;
147;1113,37;2542,43;2233,63;2911,12;
148;1121,89;2552,26;2459,75;2914,4;
149;1112,37;2538,27;2289,95;2901,16;
150;1103,36;2523,61;2211,24;2887,93;
151;1131,7;2631,32;2496,54;2905,17;
152;1114,83;2601,48;2244,25;2888,68;
153;1098,85;2572,78;2108;2871;
154;1081,54;2542,43;1993,69;2850,02;
155;1100,3;2558,06;2530,82;2864,06;
156;1106,46;2559,13;2624,43;2868,83;
157;1091,09;2533,68;2315,35;2852,92;
158;1070,15;2498,54;2049,2;2830,02;
