Time (Day);ProduktA;ProduktB;ProduktC;ProduktD;
0;0;0;0;0;
1;0;-225;0;-15;
2;6,45853;-225;0;11,4213;
3;-1,43125;-238,449;0;-20,8551;
4;-6,71455;-247,454;0;-42,4687;
5;3,49397;-230,053;0;-0,706543;
6;12,5826;-225;0;36,4741;
7;14,395;-183,75;0;43,8886;
8;18,3178;-194,625;0;65,2208;
9;13,1021;-200,299;0;42,1844;
10;6,12208;-205,435;0;7,83035;
11;-0,285046;-215,214;0;-15,2171;
12;-9,86328;-223,05;0;-44,1479;
13;-9,25474;-224,25;0;-30,9437;
14;-22,5376;-235,033;0;-71,267;
15;-17,8877;-216,887;0;-44,1403;
16;-28,9548;-226,784;0;-88,7304;
17;-19,6367;-216,864;0;-54,1718;
18;-18,3287;-218,698;0;-57,4788;
19;-7,85103;-222,203;0;-19,7085;
20;-12,4745;-232,087;0;-51,5188;
21;-19,9323;-249,491;0;-88,7634;
22;-19,5161;-255,548;0;-102,081;
23;-21,0156;-264,598;0;-116,822;
24;-19,9555;-269,969;0;-120,162;
25;-23,8446;-281,215;0;-134,817;
26;-18,9867;-279,272;0;-122,492;
27;-7,23657;-266,764;0;-90,7576;
28;-10,0749;-280,041;0;-120,684;
29;-4,50859;-279,531;0;-118,61;
30;-5,92339;-291,232;0;-143,224;
31;-8,39732;-304,662;0;-172,249;
32;4,21731;-292,407;0;-134,284;
33;2,63381;-304,497;0;-144,958;
34;11,0156;-299,051;0;-120,322;
35;20,4906;-291,348;0;-86,6481;
36;15,1147;-308,179;0;-118,01;
37;11,0272;-321,825;0;-145,576;
38;17,4368;-317,156;0;-121,798;
39;27,0971;-306,021;0;-85,5034;
40;25,0002;-314,253;0;-92,8875;
41;18,4112;-329,553;0;-110,016;
42;21,8725;-326,493;0;-90,4476;
43;32,9556;-309,152;0;-44,0613;
44;26,4119;-321,105;0;-62,8297;
45;31,8698;-312,05;0;-24,2442;
46;22,7021;-327,051;0;-45,7698;
47;16,9786;-335,19;0;-57,0848;
