Time (Day);ProduktA;ProduktB;ProduktC;ProduktD;
0;1100;1125;1875;2850;
1;1164,59;2812,5;2940,35;3264,21;
2;1021,1;2711,64;1962,06;2677,24;
3;1047,17;2744,96;2139,77;2783,86;
4;1202,09;2943,01;3196,04;3417,62;
5;1190,89;2850,4;3119,68;3371,81;
6;1118,12;2812,5;2623,58;3074,15;
7;1152,15;2503,13;2855,54;3213,32;
8;1043,69;2584,69;2116,06;2769,64;
9;1016,02;2627,24;1927,43;2656,46;
10;1043,66;2665,76;2115,88;2769,53;
11;1029,28;2722,09;2017,82;2710,69;
12;1132,28;2797,88;2720,07;3132,04;
13;1001,43;2686,49;1827,94;2596,77;
14;1166,31;2887,75;2952,11;3271,27;
15;991,002;2673,16;1756,83;2554,1;
16;1184,48;2825,88;3075,98;3345,59;
17;1091,92;2751,48;2444,88;2966,93;
18;1192,33;2765,23;3129,51;3377,7;
19;1022,24;2713,09;1969,83;2681,9;
20;1008,96;2696,11;1879,26;2627,55;
21;1065,61;2768,54;2265,54;2859,33;
22;1065,27;2768,1;2263,2;2857,92;
23;1089,27;2798,78;2426,84;2956,1;
24;1058,84;2759,88;2219,38;2831,63;
25;1129,64;2850,4;2702,12;3121,27;
26;1181,65;2916,88;3056,71;3334,02;
27;1032,07;2725,66;2036,86;2722,11;
28;1113,18;2829,35;2589,85;3053,91;
29;1045,51;2742,85;2128,51;2777,11;
30;1030,77;2723,99;2027,97;2716,78;
31;1191,71;2929,75;3125,31;3375,19;
32;1069,15;2773,06;2289,66;2873,8;
33;1156,77;2885,08;2887,1;3232,26;
34;1173,73;2906,76;3002,73;3301,64;
35;1017,63;2707,2;1938,39;2663,03;
36;1021,21;2711,77;1962,76;2677,66;
37;1150,42;2876,96;2843,79;3206,28;
38;1180,34;2915,21;3047,76;3328,66;
39;1077,9;2784,25;2349,32;2909,59;
40;1050,16;2748,78;2160,15;2796,09;
41;1135,07;2857,34;2739,15;3143,49;
42;1198,46;2938,38;3171,34;3402,81;
43;1036,96;2731,91;2070,17;2742,1;
44;1176,05;2909,72;3018,53;3311,12;
45;1026,5;2718,54;1998,86;2699,32;
46;1052,34;2751,57;2175,03;2805,02;
47;1205,9;2947,89;3222,08;3433,25;
48;1182,21;2917,59;3060,49;3336,3;
49;1011,06;2698,79;1893,56;2636,14;
50;993,462;2676,3;1773,61;2564,16;
51;1135,69;2858,13;2743,35;3146,01;
52;991,624;2673,95;1761,08;2556,65;
53;1069,47;2773,47;2291,84;2875,11;
54;1041,76;2738,04;2102,9;2761,74;
55;1046,43;2744,02;2134,75;2780,85;
56;1077,55;2783,8;2346,94;2908,16;
57;1188,68;2925,87;3104,62;3362,77;
58;996,831;2680,61;1796,57;2577,94;
59;1108,46;2823,32;2557,7;3034,62;
60;1198,44;2938,35;3171,2;3402,72;
61;1148,35;2874,31;2829,63;3197,78;
62;1175,32;2908,78;3013,52;3308,11;
63;1048,24;2746,33;2147,09;2788,26;
64;1028,82;2721,51;2014,7;2708,82;
65;1137,01;2859,81;2752,34;3151,4;
66;1195,9;2935,1;3153,86;3288,07;
67;1126,22;2846,02;2678,77;2915,73;
68;1108,5;2823,37;2557,97;2907,9;
69;1052,93;2752,33;2179,08;2807,45;
70;1126,14;2845,91;2678,2;3075,08;
71;1157,08;2885,47;2889,18;2937,2;
72;1079,29;2786,02;2358,77;2915,26;
73;1085,24;2793,63;2399,34;2932,47;
74;1148,97;2875,1;2833,85;2910,15;
75;1041,16;2737,27;2098,79;2759,28;
76;1028,23;2720,75;2010,64;2706,39;
77;1047,32;2745,16;2140,83;2784,5;
78;1032,09;2725,69;2037,01;2722,21;
79;1138,1;2861,2;2759,75;3155,85;
80;1130,2;2851,11;2705,94;3123,56;
81;1134,67;2856,82;2736,36;3018,5;
82;1170,52;2902,65;2980,79;2917,86;
83;1160,4;2889,72;2911,81;2932,44;
84;1185,42;2921,71;3082,43;2953,33;
85;1138,71;2861,98;1862,95;2949,2;
86;1053,04;2752,47;2179,82;2807,89;
87;1064,43;2767,02;2257,47;2854,48;
88;1097,63;2809,47;2483,86;2990,31;
89;1185,39;2921,66;3082,21;3191,91;
90;1053,47;2753,02;2182,75;2809,65;
91;1191,72;2929,75;3125,33;3144,05;
92;1051,77;2750,84;2171,14;2802,68;
93;1134,5;2856,61;2735,23;3141,14;
94;1144,71;2869,66;2804,87;3018,41;
95;1145,82;2871,08;2812,44;2992,06;
96;1088,17;2797,38;2419,37;2951,62;
97;1174,92;2908,28;3010,82;3028,96;
98;1132,59;2854,16;2722,19;2977,91;
99;1201,52;2942,28;3192,17;2972,1;
100;1067,03;2770,35;2275,2;2865,12;
101;1153,55;2880,96;2865,1;3072,88;
102;1019,73;2709,88;1952,67;2671,6;
103;1179,68;2914,36;3043,27;3307,36;
104;1160,61;2889,98;2913,25;2994,41;
105;1146,98;2872,56;2820,31;2996,65;
106;1174,03;2907,13;3004,72;2999,72;
107;1198,34;2938,22;2827,72;3002,45;
108;1180,06;2914,85;2712,7;2998,01;
109;1057,04;2757,58;2207,09;2824,26;
110;1185,74;2922,11;3084,61;3170,27;
111;1019,87;2710,06;1953,64;2672,19;
112;1127,22;2847,3;2685,62;3111,37;
113;1082,85;2790,57;2383,05;2929,83;
114;991,933;2674,35;1763,18;2557,91;
115;1089,32;2798,85;2427,19;2956,31;
116;1036,02;2730,71;2063,8;2738,28;
117;1117,14;2834,41;2616,84;3070,1;
118;1003,52;2689,16;1842,17;2605,3;
119;1200,13;2940,51;3182,7;3409,62;
120;1009,68;2697,03;1884,19;2630,51;
121;1075,54;2781,23;2333,21;2899,92;
122;1199,71;2939,97;3179,85;3407,91;
123;1085,76;2794,3;2402,92;2941,75;
124;994,973;2678,23;1783,91;2570,35;
125;1174,94;2908,3;3010,94;3306,56;
126;1128,19;2848,54;2692,22;3115,33;
127;1058,77;2759,79;2218,88;2831,33;
128;1045,85;2743,28;2130,83;2778,5;
129;1184,17;2920,1;3073,86;3344,32;
130;1121,63;2840,16;2647,5;3088,5;
131;1054,22;2753,98;2187,88;2812,73;
132;1104,55;2818,31;2531;3018,6;
133;1086,92;2795,78;2410,8;2946,48;
134;1065,59;2768,5;2265,36;2859,22;
135;1008,19;2695,13;1874,03;2624,42;
136;1144,08;2868,85;2800,54;3180,32;
137;1137,11;2859,94;2753,02;3151,81;
138;1095,48;2806,72;2469,18;2981,51;
139;1099,82;2812,26;2498,74;2999,25;
140;1063,06;2765,28;2248,17;2848,9;
141;1208,56;2951,29;3240,2;3444,12;
142;1175,06;2860,44;3011,74;3307,04;
143;1125,61;2791,47;2674,63;3104,78;
144;1082,95;2790,7;2383,73;2930,24;
145;1023,57;2714,79;1978,85;2687,31;
146;1053,6;2753,18;2183,62;2810,17;
147;1127,26;2847,35;2685,86;3111,52;
148;1044,29;2741,28;2120,15;2772,09;
149;1046,11;2743,6;2132,54;2779,52;
150;1233;3360,2;2781,84;3394,1;
151;1025,49;2717,24;1991,96;2695,18;
152;1022,52;2713,45;1971,75;2683,05;
153;1008,97;2696,13;1879,37;2627,62;
154;1183,3;2918,99;3067,95;3340,77;
155;1131,98;2853,38;2718,04;3130,83;
156;1027,59;2719,92;2006,26;2703,76;
157;994,847;2678,07;1783,05;2569,83;
158;1066,8;2770,06;2273,67;2864,2;
159;1082,73;2790,43;2382,28;2929,37;
160;1072,51;2777,36;2312,57;2887,54;
161;1058,91;2759,97;2219,82;2831,89;
162;1016,13;2705,28;1928,17;2656,9;
163;1193,31;2931,79;3136,22;3381,73;
164;1116,41;2833,48;2611,87;3067,12;
165;1145,83;2871,08;2812,45;3187,47;
166;1003,11;2688,63;1839,37;2603,62;
167;1006,2;2692,59;1860,46;2616,28;
168;1011,96;2699,95;1899,75;2639,85;
169;1205,8;2947,75;3221,34;3432,8;
170;1026,41;2718,42;1998,24;2698,94;
171;1076,14;2782;2337,33;2902,4;
172;1019,18;2709,18;1948,98;2669,39;
173;1064,97;2767,72;2261,15;2856,69;
174;1049,72;2748,22;2157,17;2794,3;
175;1075,85;2781,62;2335,31;2901,19;
176;1101,95;2814,99;2513,28;3007,97;
177;1009,44;2696,73;1882,56;2629,53;
178;1158,63;2887,46;2899,77;3239,86;
179;1197,5;2937,15;3164,79;3398,88;
180;999,222;2683,66;1812,88;2587,73;
181;998,81;2683,14;1810,07;2586,04;
182;1057,84;2758,6;2212,51;2827,51;
183;1195,97;2935,19;3154,33;3392,6;
184;1103,19;2800,87;2521,76;3013,05;
185;1002,76;2688,19;1837,02;2602,21;
186;1123,66;2828,25;2661,3;3096,78;
187;1176,45;2770,17;3021,22;3312,73;
188;1098,49;2761;2489,69;2993,81;
189;1043,46;2740,22;2114,48;2768,69;
190;1167,09;2849,71;2957,46;3274,48;
191;1071,51;2776,08;2305,77;2883,46;
192;1047,28;2745,1;2140,56;2784,34;
193;1093,85;2804,64;2458,08;2974,85;
194;1187,35;2924,17;3095,59;3357,35;
195;1191,7;2929,73;3125,21;2871,62;
196;1200,13;2877,1;3182,67;2723,69;
197;1079,18;2785,88;1058,34;2719,67;
198;1104,07;2817,7;2527,73;2721,38;
199;1061,42;2763,18;2236,96;2704,78;
200;1065,28;2768,11;2263,26;2718,41;
201;1042,34;2738,79;2106,87;2741,36;
202;1114,22;2830,68;2596,95;2725,49;
