Time (Day);ProduktA;ProduktB;ProduktC;ProduktD;;;
0;1100;1125;1875;2850;
1;1164,59;2587,5;2940,35;3249,21;
2;1027,56;2486,64;1962,06;2688,66;
3;1045,74;2506,51;2139,77;2763,01;
4;1195,37;2695,55;3196,04;3375,15;
5;1194,38;2620,35;3119,68;3371,1;
6;1130,71;2587,5;2623,58;3110,62;
7;1166,54;2319,38;2855,54;3257,21;
8;1062,01;2390,06;2116,06;2834,86;
9;1029,13;2426,94;1927,43;2698,64;
10;1049,78;2460,32;2115,88;2777,36;
11;1029;2506,88;2017,82;2695,48;
12;1122,41;2574,83;2720,07;3087,89;
13;992,177;2462,24;1827,94;2565,82;
14;1143,77;2652,72;2952,11;3200;
15;973,114;2456,27;1756,83;2509,96;
16;1155,52;2599,1;3075,98;3256,86;
17;1072,28;2534,62;2444,88;2912,76;
18;1174;2546,53;3129,51;3320,22;
19;1014,39;2490,89;1969,83;2662,19;
20;996,483;2464,02;1879,26;2576,04;
21;1045,68;2519,05;2265,54;2770,56;
22;1045,75;2512,55;2263,2;2755,84;
23;1068,25;2534,18;2426,84;2839,28;
24;1038,89;2489,92;2219,38;2711,47;
25;1105,8;2569,18;2702,12;2986,46;
26;1162,66;2637,61;3056,71;3211,53;
27;1024,84;2458,9;2036,86;2631,36;
28;1103,1;2549,3;2589,85;2933,22;
29;1041,01;2463,31;2128,51;2658,5;
30;1024,85;2432,76;2027,97;2573,56;
31;1183,32;2625,08;3125,31;3202,94;
32;1073,37;2480,65;2289,66;2739,51;
33;1159,41;2580,58;2887,1;3087,3;
34;1184,75;2607,71;3002,73;3181,32;
35;1038,12;2415,85;1938,39;2576,39;
36;1036,32;2403,59;1962,76;2559,65;
37;1161,45;2555,14;2843,79;3060,7;
38;1197,78;2598,05;3047,76;3206,86;
39;1105;2478,23;2349,32;2824,09;
40;1075,16;2434,53;2160,15;2703,2;
41;1153,49;2527,79;2739,15;3033,47;
42;1220,34;2611,88;3171,34;3312,36;
43;1069,91;2422,76;2070,17;2698,04;
44;1202,46;2588,62;3018,53;3248,29;
45;1058,37;2406,49;1998,86;2675,07;
46;1075,04;2424,52;2175,03;2759,25;
47;1222,88;2612,7;3222,08;3376,16;
48;1207,94;2599,61;3060,49;3329,25;
49;1041,13;2390,79;1893,56;2670,95;
50;1012,15;2352,23;1773,61;2570,73;
51;1139,68;2512,51;2743,35;3118,44;
52;996,772;2334,51;1761,08;2554,79;
53;1062,35;2417,9;2291,84;2838,45;
54;1027,99;2375,76;2102,9;2722,95;
55;1021,8;2367,61;2134,75;2727,65;
56;1044,71;2398,19;2346,94;2841,07;
57;1153,07;2540,8;3104,62;3296,25;
58;968,878;2313,78;1796,57;2559,16;
59;1071,29;2446,36;2557,7;2984,21;
60;1163,74;2571,27;3171,2;3364,79;
61;1126,23;2534,48;2829,63;3209,58;
62;1161,79;2589,55;3013,52;3350,15;
63;1046,36;2452,86;2147,09;2870,88;
64;1024;2428,34;2014,7;2777,99;
65;1129,47;2567,4;2752,34;3200,3;
66;1196,16;2660,91;3153,86;3359,26;
67;1138,07;2595,57;2678,77;3024,15;
68;1124,06;2582,28;2557,97;3017,11;
69;1068,96;2513,9;2179,08;2914,32;
70;1138,23;2601,85;2678,2;3167,57;
71;1173,93;2649,93;2889,18;3043,48;
72;1102,97;2561,44;2358,77;3023,38;
73;1105,82;2561,66;2399,34;3039,22;
74;1166,49;2634,68;2833,85;3019,14;
75;1061,83;2497,98;2098,79;2868,62;
76;1042,24;2465,22;2010,64;2801,92;
77;1052,77;2469,39;2140,83;2861,78;
78;1029,69;2430,03;2037,01;2789,29;
79;1126,78;2543,4;2759,75;3204,45;
80;1120,87;2529,5;2705,94;3198,79;
81;1125,57;2528,07;2736,36;3116,65;
82;1163,42;2570,04;2980,79;3026,07;
83;1160,34;2562,36;2911,81;3039,2;
84;1192,33;2600,15;3082,43;3057,99;
85;1156,31;2553,49;1862,95;3054,28;
86;1075,7;2448,07;2179,82;2913,83;
87;1082,92;2451,73;2257,47;2945,84;
88;1112,48;2484,97;2483,86;3069,73;
89;1198,67;2592,13;3082,21;3272,72;
90;1073,01;2432,47;2182,75;2911,8;
91;1202,93;2593,81;3125,33;3229,65;
92;1068,09;2422,97;2171,14;2904,2;
93;1143,24;2516,01;2735,23;3224,14;
94;1155,04;2532,8;2804,87;3116,57;
95;1158,87;2540,57;2812,44;3092,85;
96;1102,44;2470,9;2419,37;3052,28;
97;1185,84;2578,78;3010,82;3126,06;
98;1147,22;2533,82;2722,19;3080,12;
99;1217,02;2626,92;3192,17;3074,89;
100;1089,91;2471,34;2275,2;2968,82;
101;1169,81;2574,59;2865,1;3165,59;
102;1037,51;2410,03;1952,67;2772,98;
103;1186,32;2599,62;3043,27;3376,63;
104;1171,01;2585,49;2913,25;3094,97;
105;1159,13;2574,71;2820,31;3096,99;
106;1185,08;2610,54;3004,72;3099,75;
107;1212,36;2649,7;2827,72;3102,2;
108;1198,98;2637,23;2712,7;3098,21;
109;1081,26;2491,6;2207,09;2924,72;
110;1201,78;2644,23;3084,61;3253,25;
111;1039,95;2440,55;1953,64;2770,91;
112;1134,49;2556,91;2685,62;3176,53;
113;1087,28;2495,72;2383,05;3004,25;
114;987,969;2364,8;1763,18;2624;
115;1067,22;2457,34;2427,19;2975,82;
116;1007,37;2376,81;2063,8;2750,59;
117;1075,66;2456,82;2616,84;3053,09;
118;959,816;2306,04;1842,17;2592,04;
119;1142,94;2532,48;3182,7;3353,16;
120;959,683;2299,44;1884,19;2611,08;
121;1016,49;2366,97;2333,21;2839,42;
122;1138,87;2521,82;3179,85;3333,65;
123;1037,25;2397,06;2402,92;2903,88;
124;947,423;2282,99;1783,91;2523,61;
125;1121,59;2504,52;3010,94;3212,09;
126;1085,25;2464,05;2692,22;3046,51;
127;1023,78;2391,33;2218,88;2768,8;
128;1012,52;2380,76;2130,83;2693,62;
129;1149,26;2558,08;3073,86;3231,57;
130;1099,47;2503,35;2647,5;3004,27;
131;1040,74;2436,06;2187,88;2732,1;
132;1091,27;2504,62;2531;2912,99;
133;1078,21;2493,56;2410,8;2837,94;
134;1060,39;2475,88;2265,36;2739,88;
135;1005,16;2409,67;1874,03;2485,82;
136;1135,37;2576,43;2800,54;3001,12;
137;1135,62;2581,88;2753,02;2987,86;
138;1101,13;2542,38;2469,18;2831,35;
139;1107,94;2552,93;2498,74;2845,66;
140;1073,94;2510,73;2248,17;2695,77;
141;1218,75;2695,02;3240,2;3274,62;
142;1200,41;2629,05;3011,74;3182,71;
143;1161,21;2569,28;2674,63;3012,66;
144;1122,58;2565,49;2383,73;2848,37;
145;1062,65;2485,22;1978,85;2598,73;
146;1085,81;2507,85;2183,62;2692,95;
147;1155,97;2591,59;2685,86;2976,76;
148;1074,26;2482,3;2120,15;2649,62;
149;1067,32;2464,97;2132,54;2636,49;
150;1245,06;3062,17;2781,84;3232,68;
151;1047,38;2482,11;1991,96;2575,48;
152;1034,94;2457,96;1971,75;2535,05;
153;1012,3;2421,07;1879,37;2451,33;
154;1175,34;2620,57;3067,95;3130,91;
155;1131,11;2563,42;2718,04;2959,35;
156;1029,58;2431,87;2006,26;2550,74;
157;986,427;2357,98;1783,05;2394,88;
158;1046,39;2416,82;2273,67;2653,53;
159;1059,11;2420,61;2382,28;2712,11;
160;1049,01;2398,24;2312,57;2670,7;
161;1032,62;2367,45;2219,82;2611,69;
162;985,093;2296,89;1928,17;2428,9;
163;1154,78;2504,05;3136,22;3126,61;
164;1090,19;2421,86;2611,87;2856,09;
165;1124,71;2464,94;2812,45;2988,7;
166;990,157;2294,81;1839,37;2429,63;
167;987,451;2288,92;1860,46;2410,39;
168;988,291;2289,61;1899,75;2404,48;
169;1179,19;2535,94;3221,34;3169,98;
170;1013,97;2335,35;1998,24;2489,28;
171;1059,42;2397,3;2337,33;2673,84;
172;1002,04;2330,2;1948,98;2440,55;
173;1043,51;2388,94;2261,15;2605,92;
174;1030,02;2380,99;2157,17;2542,1;
175;1057,57;2426,15;2335,31;2643,42;
176;1084,83;2470,58;2513,28;2753,91;
177;997,1;2369,74;1882,56;2389,39;
178;1141,71;2561,78;2899,77;2977,38;
179;1191,98;2639,96;3164,79;3177,38;
180;1009,01;2421,22;1812,88;2424;
181;1004,37;2421,59;1810,07;2399,51;
182;1058,81;2496,47;2212,51;2618,73;
183;1197,45;2680,1;3154,33;3186,71;
184;1120,11;2577,42;2521,76;2868,41;
185;1023,83;2473,56;1837,02;2479,12;
186;1136,23;2601,15;2661,3;2953,87;
187;1194,19;2550,82;3021,22;3198,52;
188;1128,03;2542,86;2489,69;2931,79;
189;1077;2520,81;2114,48;2728,87;
