Time (Day);ProduktA;ProduktB;ProduktC;ProduktD;
0;2000;1000;2000;4000;
1;2000;2500;2625;4150;
2;1935,41;2500;2184,65;3885,79;
3;2014,31;2589,66;2722,59;4208,55;
4;2067,15;2649,69;2770,31;4424,69;
5;1965,06;2533,69;2138,2;4007,07;
6;1874,17;2500;1281,52;3635,26;
7;1856,05;2225;859,328;3561,11;
8;1816,82;2297,5;702,502;3347,79;
9;1868,98;2335,33;1495,64;3578,16;
10;1938,78;2369,56;2334,59;3921,7;
11;2002,85;2434,76;3029,67;4152,17;
12;2098,63;2487;3475,36;4441,48;
13;2092,55;2495;2950,76;4309,44;
14;2225,38;2566,89;3278,49;4712,67;
15;2178,88;2445,91;2413,13;4441,4;
16;2289,55;2511,9;3059,7;4887,3;
17;2196,37;2445,76;2099,4;4541,72;
18;2183,29;2457,98;2188,42;4574,79;
19;2078,51;2481,35;1204,27;4197,08;
20;2124,75;2547,25;1845,11;4515,19;
21;2199,32;2663,27;2493,63;4887,63;
22;2195,16;2703,65;3056,73;5020,81;
23;2210,16;2763,99;3192,76;5168,22;
24;2199,56;2799,8;2905,17;5201,62;
25;2238,45;2874,77;2888,18;5348,17;
26;2189,87;2861,82;2418,86;5224,92;
27;2072,37;2778,43;1691,97;4907,58;
28;2100,75;2866,94;1929,71;5206,84;
29;2045,09;2863,54;1828,23;5186,1;
30;2059,23;2941,55;2472,25;5432,24;
31;2083,97;3031,08;2848,98;5722,49;
32;1957,83;2949,38;2220,94;5342,84;
33;1973,66;3029,98;2244,17;5449,58;
34;1889,84;2993,68;1527,5;5203,22;
35;1795,09;2942,32;1172,64;4866,48;
36;1848,85;3054,53;1703,01;5180,1;
37;1889,73;3145,5;2418,18;5455,76;
38;1825,63;3114,37;2414,72;5217,98;
39;1729,03;3040,14;1756,32;4855,03;
40;1750;3095,02;1583,05;4928,88;
41;1815,89;3197,02;1932,83;5100,16;
42;1781,27;3176,62;1972,53;4904,48;
43;1670,44;3061,01;1365,27;4440,61;
44;1735,88;3140,7;1657,22;4628,3;
45;1681,3;3080,33;1189,32;4242,44;
46;1772,98;3180,34;2051,44;4457,7;
47;1830,21;3234,6;2341,99;4570,85;
48;1742,67;3119,89;1861,97;4070,44;
49;1699,21;3053,35;1171,94;3651,9;
50;1813,14;3160,49;1551,12;3934,3;
51;1960,16;3304,12;2524,93;4275,67;
52;1948,52;3262,92;2685,53;4018,6;
53;2071,15;3370,46;3323,21;4366,58;
54;2137,66;3415,2;3117,55;4387,86;
55;2246,28;3509,34;3429,41;4532,04;
56;2328,37;3570,74;3382,58;4670,89;
57;2356,07;3567,12;3225,53;4665,25;
58;2279,53;3445,55;2267,3;4187,87;
