Time (Day);ProduktA;ProduktB;ProduktC;ProduktD;
0;0;0;0;0;
1;0;-1500;-625;-150;
2;64,5853;-1500;-184,646;114,213;
3;-14,3125;-1589,66;-722,586;-208,551;
4;-67,1455;-1649,69;-770,311;-424,687;
5;34,9397;-1533,69;-138,203;-7,06543;
6;125,826;-1500;718,481;364,741;
7;143,95;-1225;1140,67;438,886;
8;183,178;-1297,5;1297,5;652,208;
9;131,021;-1335,33;504,364;421,844;
10;61,2208;-1369,56;-334,586;78,3035;
11;-2,85046;-1434,76;-1029,67;-152,171;
12;-98,6328;-1487;-1475,36;-441,479;
13;-92,5474;-1495;-950,761;-309,437;
14;-225,376;-1566,89;-1278,49;-712,67;
15;-178,877;-1445,91;-413,126;-441,403;
16;-289,548;-1511,9;-1059,7;-887,304;
17;-196,367;-1445,76;-99,4036;-541,718;
18;-183,287;-1457,98;-188,415;-574,788;
19;-78,5103;-1481,35;795,728;-197,085;
20;-124,745;-1547,25;154,886;-515,188;
21;-199,323;-1663,27;-493,633;-887,634;
22;-195,161;-1703,65;-1056,73;-1020,81;
23;-210,156;-1763,99;-1192,76;-1168,22;
24;-199,555;-1799,8;-905,173;-1201,62;
25;-238,446;-1874,77;-888,183;-1348,17;
26;-189,867;-1861,82;-418,857;-1224,92;
27;-72,3657;-1778,43;308,032;-907,576;
28;-100,749;-1866,94;70,2894;-1206,84;
29;-45,0859;-1863,54;171,774;-1186,1;
30;-59,2339;-1941,55;-472,251;-1432,24;
31;-83,9731;-2031,08;-848,981;-1722,49;
32;42,1731;-1949,38;-220,94;-1342,84;
33;26,3381;-2029,98;-244,167;-1449,58;
34;110,156;-1993,68;472,5;-1203,22;
35;204,906;-1942,32;827,364;-866,481;
36;151,147;-2054,53;296,989;-1180,1;
37;110,272;-2145,5;-418,18;-1455,76;
38;174,368;-2114,37;-414,718;-1217,98;
39;270,971;-2040,14;243,685;-855,034;
40;250,002;-2095,02;416,947;-928,875;
41;184,112;-2197,02;67,1697;-1100,16;
42;218,725;-2176,62;27,469;-904,476;
43;329,556;-2061,01;634,727;-440,613;
