Time (Day);ProduktA;ProduktB;ProduktC;ProduktD;
0;22;18;8;12;
1;22;18;8;12;
2;22;18;8;12;
3;22;18;8;12;
4;22;18;8;12;
5;22;18;8;12;
6;22;18;8;12;
7;22;18;8;12;
8;22;18;8;12;
9;22;18;8;12;
10;22;18;8;12;
11;22;18;8;12;
12;22;18;8;12;
13;22;18;8;12;
14;22;18;8;12;
15;22;18;8;12;
16;22;18;8;12;
17;22;18;8;12;
18;22;18;8;12;
19;22;18;8;12;
20;22;18;8;12;
21;22;18;8;12;
22;22;18;8;12;
23;22;18;8;12;
24;22;18;8;12;
25;22;18;8;12;
26;22;18;8;12;
27;22;18;8;12;
28;22;18;8;12;
29;22;18;8;12;
30;22;18;8;12;
31;22;18;8;12;
32;22;18;8;12;
33;22;18;8;12;
34;22;18;8;12;
35;22;18;8;12;
36;22;18;8;12;
37;22;18;8;12;
38;22;18;8;12;
39;22;18;8;12;
40;22;18;8;12;
41;22;18;8;12;
42;22;18;8;12;
43;22;18;8;12;
44;22;18;8;12;
45;22;18;8;12;
46;22;18;8;12;
47;22;18;8;12;
48;22;18;8;12;
49;22;18;8;12;
50;22;18;8;12;
51;22;18;8;12;
52;22;18;8;12;
53;22;18;8;12;
54;22;18;8;12;
55;22;18;8;12;
56;22;18;8;12;
57;22;18;8;12;
58;22;18;8;12;
59;22;18;8;12;
60;22;18;8;12;
61;22;18;8;12;
62;22;18;8;12;
63;22;18;8;12;
64;22;18;8;12;
65;22;18;8;12;
66;22;18;8;12;
67;22;18;8;12;
68;22;18;8;12;
69;22;18;8;12;
70;22;18;8;12;
71;22;18;8;12;
72;22;18;8;12;
73;22;18;8;12;
74;22;18;8;12;
75;22;18;8;12;
76;22;18;8;12;
77;22;18;8;12;
78;22;18;8;12;
79;22;18;8;12;
80;22;18;8;12;
81;22;18;8;12;
82;22;18;8;12;
83;22;18;8;12;
84;22;18;8;12;
85;22;18;8;12;
86;22;18;8;12;
87;22;18;8;12;
88;22;18;8;12;
89;22;18;8;12;
90;22;18;8;12;
91;22;18;8;12;
92;22;18;8;12;
93;22;18;8;12;
94;22;18;8;12;
95;22;18;8;12;
96;22;18;8;12;
97;22;18;8;12;
98;22;18;8;12;
99;22;18;8;12;
100;22;18;8;12;
101;22;18;8;12;
102;22;18;8;12;
103;22;18;8;12;
104;22;18;8;12;
105;22;18;8;12;
106;22;18;8;12;
107;22;18;8;12;
108;22;18;8;12;
109;22;18;8;12;
110;22;18;8;12;
111;22;18;8;12;
112;22;18;8;12;
113;22;18;8;12;
114;22;18;8;12;
115;22;18;8;12;
116;22;18;8;12;
117;22;18;8;12;
118;22;18;8;12;
119;22;18;8;12;
120;22;18;8;12;
121;22;18;8;12;
122;22;18;8;12;
123;22;18;8;12;
124;22;18;8;12;
125;22;18;8;12;
126;22;18;8;12;
127;22;18;8;12;
128;22;18;8;12;
129;22;18;8;12;
130;22;18;8;12;
131;22;18;8;12;
132;22;18;8;12;
133;22;18;8;12;
134;22;18;8;12;
135;22;18;8;12;
136;22;18;8;12;
137;22;18;8;12;
138;22;18;8;12;
139;22;18;8;12;
140;22;18;8;12;
141;22;18;8;12;
142;22;18;8;12;
143;22;18;8;12;
144;22;18;8;12;
145;22;18;8;12;
146;22;18;8;12;
147;22;18;8;12;
148;22;18;8;12;
149;22;18;8;12;
150;22;18;8;12;
151;22;18;8;12;
152;22;18;8;12;
153;22;18;8;12;
154;22;18;8;12;
155;22;18;8;12;
156;22;18;8;12;
157;22;18;8;12;
158;22;18;8;12;
159;22;18;8;12;
160;22;18;8;12;
161;22;18;8;12;
162;22;18;8;12;
163;22;18;8;12;
164;22;18;8;12;
165;22;18;8;12;
166;22;18;8;12;
167;22;18;8;12;
168;22;18;8;12;
169;22;18;8;12;
170;22;18;8;12;
171;22;18;8;12;
172;22;18;8;12;
173;22;18;8;12;
174;22;18;8;12;
175;22;18;8;12;
176;22;18;8;12;
177;22;18;8;12;
178;22;18;8;12;
179;22;18;8;12;
180;22;18;8;12;
181;22;18;8;12;
182;22;18;8;12;
183;22;18;8;12;
184;22;18;8;12;
185;22;18;8;12;
186;22;18;8;12;
187;22;18;8;12;
188;22;18;8;12;
189;22;18;8;12;
190;22;18;8;12;
191;22;18;8;12;
192;22;18;8;12;
193;22;18;8;12;
194;22;18;8;12;
195;22;18;8;12;
196;22;18;8;12;
197;22;18;10;12;
198;22;18;8;12;
199;22;18;8;12;
200;22;18;8;12;
201;22;18;8;12;
202;22;18;8;12;
203;22;18;8;12;
204;22;18;8;12;
205;22;18;8;12;
206;22;18;8;12;
207;22;18;8;12;
208;22;18;8;12;
209;22;18;8;12;
210;22;18;8;12;
211;22;18;8;12;
212;22;18;8;12;
213;22;18;8;12;
214;22;18;8;12;
215;22;18;8;12;
216;22;18;8;12;
217;22;18;8;12;
218;22;18;8;12;
219;22;18;8;12;
220;22;18;8;12;
221;22;18;8;12;
222;22;18;8;12;
223;22;18;8;12;
224;22;18;8;12;
225;22;18;8;12;
226;22;18;8;12;
227;22;18;8;12;
228;22;18;8;12;
229;22;18;8;12;
230;22;18;8;12;
231;22;18;8;12;
232;22;18;8;12;
233;22;18;8;12;
234;22;18;8;12;
235;22;18;8;12;
236;22;18;8;12;
237;22;18;8;12;
238;22;18;8;12;
239;22;18;8;12;
240;22;18;10;12;
241;22;18;8;12;
242;22;18;8;12;
243;22;18;8;12;
244;22;18;8;12;
245;22;18;8;12;
246;22;18;8;12;
247;22;18;8;12;
248;22;18;8;12;
249;22;18;8;12;
250;22;18;8;12;
251;22;18;8;12;
252;22;18;8;12;
253;22;18;8;12;
254;22;18;8;12;
255;22;18;8;12;
256;22;18;8;12;
257;22;18;8;12;
258;22;18;8;12;
259;22;18;8;12;
260;22;18;8;12;
261;22;18;8;12;
262;22;18;8;12;
263;22;18;8;12;
264;22;18;8;12;
265;22;18;8;12;
266;22;18;8;12;
267;22;18;8;12;
268;22;18;8;12;
269;22;18;8;12;
270;22;18;8;12;
271;22;18;8;12;
272;22;18;8;12;
273;22;18;8;12;
274;22;18;8;12;
275;22;18;8;12;
276;22;18;8;12;
277;22;18;8;12;
278;22;18;8;12;
279;22;18;8;12;
280;22;18;8;12;
281;22;18;8;12;
282;22;18;8;12;
283;22;18;8;12;
284;22;18;8;12;
285;22;18;8;12;
286;22;18;8;12;
287;22;18;8;12;
288;22;18;8;12;
289;22;18;8;12;
290;22;18;8;12;
291;22;18;8;12;
292;22;18;8;12;
293;22;18;8;12;
294;22;18;8;12;
295;22;18;8;12;
