Time (Day);ProduktA;ProduktB;ProduktC;ProduktD;
0;1100;1000;1875;2850;
1;1164,59;2500;2940,35;3264,21;
2;1021,1;2410,34;1962,06;2677,24;
3;1047,17;2439,96;2139,77;2783,86;
4;1202,09;2616,01;3196,04;3417,62;
5;1190,89;2533,69;3119,68;3371,81;
6;1118,12;2500;2623,58;3074,15;
7;1152,15;2225;2855,54;3213,32;
8;1043,69;2297,5;2116,06;2769,64;
9;1016,02;2335,33;1927,43;2656,46;
10;1043,66;2369,56;2115,88;2769,53;
11;1029,28;2419,64;2017,82;2710,69;
12;1132,28;2487;2720,07;3132,04;
13;1001,43;2387,99;1827,94;2596,77;
14;1166,31;2566,89;2952,11;3271,27;
15;991,002;2376,14;1756,83;2554,1;
16;1184,48;2511,9;3075,98;3345,59;
17;1091,92;2445,76;2444,88;2966,93;
18;1192,33;2457,98;3129,51;3377,7;
19;1022,24;2411,64;1969,83;2681,9;
20;1008,96;2396,54;1879,26;2627,55;
21;1065,61;2460,92;2265,54;2859,33;
22;1065,27;2460,53;2263,2;2857,92;
23;1089,27;2487,81;2426,84;2956,1;
24;1058,84;2453,23;2219,38;2831,63;
25;1129,64;2533,69;2702,12;3121,27;
26;1181,65;2592,78;3056,71;3334,02;
27;1032,07;2422,81;2036,86;2722,11;
28;1113,18;2514,97;2589,85;3053,91;
29;1045,51;2438,08;2128,51;2777,11;
30;1030,77;2421,33;2027,97;2716,78;
31;1191,71;2604,22;3125,31;3375,19;
32;1069,15;2464,94;2289,66;2873,8;
33;1156,77;2564,52;2887,1;3232,26;
34;1173,73;2583,79;3002,73;3301,64;
35;1017,63;2406,4;1938,39;2663,03;
36;1021,21;2410,46;1962,76;2677,66;
37;1150,42;2557,3;2843,79;3206,28;
38;1180,34;2591,29;3047,76;3328,66;
39;1077,9;2474,89;2349,32;2909,59;
40;1050,16;2443,36;2160,15;2796,09;
41;1135,07;2539,86;2739,15;3143,49;
42;1198,46;2611,89;3171,34;3402,81;
43;1036,96;2428,36;2070,17;2742,1;
44;1176,05;2586,42;3018,53;3311,12;
45;1026,5;2416,48;1998,86;2699,32;
46;1052,34;2445,84;2175,03;2805,02;
47;1205,9;2620,35;3222,08;3433,25;
48;1182,21;2593,42;3060,49;3336,3;
49;1011,06;2398,93;1893,56;2636,14;
50;993,462;2378,93;1773,61;2564,16;
51;1135,69;2540,56;2743,35;3146,01;
52;991,624;2376,85;1761,08;2556,65;
53;1069,47;2465,31;2291,84;2875,11;
54;1041,76;2433,82;2102,9;2761,74;
55;1046,43;2439,13;2134,75;2780,85;
56;1077,55;2474,49;2346,94;2908,16;
57;1188,68;2600,77;3104,62;3362,77;
58;996,831;2382,76;1796,57;2577,94;
59;1108,46;2509,62;2557,7;3034,62;
60;1198,44;2611,87;3171,2;3402,72;
61;1148,35;2554,94;2829,63;3197,78;
62;1175,32;2585,59;3013,52;3308,11;
63;1048,24;2441,18;2147,09;2788,26;
64;1028,82;2419,12;2014,7;2708,82;
65;1137,01;2542,06;2752,34;3151,4;
66;1195,9;2608,98;3153,86;3288,07;
67;1126,22;2529,79;2678,77;2915,73;
68;1108,5;2509,66;2557,97;2907,9;
69;1052,93;2446,51;2179,08;2807,45;
70;1126,14;2529,7;2678,2;3075,08;
71;1157,08;2564,86;2889,18;2937,2;
72;1079,29;2476,46;2358,77;2915,26;
73;1085,24;2483,22;2399,34;2932,47;
74;1148,97;2555,64;2833,85;2910,15;
75;1041,16;2433,13;2098,79;2759,28;
76;1028,23;2418,44;2010,64;2706,39;
77;1047,32;2440,14;2140,83;2784,5;
78;1032,09;2422,83;2037,01;2722,21;
79;1138,1;2543,29;2759,75;3155,85;
80;1130,2;2534,32;2705,94;3123,56;
81;1134,67;2539,39;2736,36;3018,5;
82;1170,52;2580,13;2980,79;2917,86;
83;1160,4;2568,64;2911,81;2932,44;
84;1185,42;2597,07;3082,43;2953,33;
85;1138,71;2543,99;1862,95;2949,2;
86;1053,04;2446,64;2179,82;2807,89;
87;1064,43;2459,58;2257,47;2854,48;
88;1097,63;2497,31;2483,86;2990,31;
89;1185,39;2597,04;3082,21;3191,91;
90;1053,47;2447,12;2182,75;2809,65;
91;1191,72;2604,22;3125,33;3144,05;
92;1051,77;2445,19;2171,14;2802,68;
93;1134,5;2539,21;2735,23;3141,14;
94;1144,71;2550,81;2804,87;3018,41;
